item_id,item_name,category,quantity_in_stock,package_size,reference_price,price_basis,source_or_asin,product_url,pricing_evidence_url,price_checked,confidence,inventory_status,notes,dilution_ratio,estimated_use_per_car,estimated_cars_per_container,usage_guidance_url
INV-001,Microfiber Cloth,Existing inventory,30,Recorded quantity,10,Recorded spreadsheet price,Amazon,https://www.amazon.com/dp/B082XSJT1R,https://docs.google.com/spreadsheets/d/1FcrMBMEDy2bWQb9fOa3mfS-ihnd5u4_Z97BCvas-nKs/edit?gid=0#gid=0,,High,In Stock,Price meaning (unit vs package total) should be confirmed.,,,,
INV-002,Triangle Rod,Existing inventory,1,Recorded quantity,0,Recorded spreadsheet price,Mema,,https://docs.google.com/spreadsheets/d/1FcrMBMEDy2bWQb9fOa3mfS-ihnd5u4_Z97BCvas-nKs/edit?gid=0#gid=0,,High,In Stock,,,,,
INV-003,Triangle Rod Microfibers,Existing inventory,2,Recorded quantity,0,Recorded spreadsheet price,Mema,,https://docs.google.com/spreadsheets/d/1FcrMBMEDy2bWQb9fOa3mfS-ihnd5u4_Z97BCvas-nKs/edit?gid=0#gid=0,,High,In Stock,,,,,
INV-004,Interior Duster,Existing inventory,1,Recorded quantity,0,Recorded spreadsheet price,Mema,,https://docs.google.com/spreadsheets/d/1FcrMBMEDy2bWQb9fOa3mfS-ihnd5u4_Z97BCvas-nKs/edit?gid=0#gid=0,,High,In Stock,,,,,
INV-005,Cleaning Slime,Existing inventory,1,Recorded quantity,0,Recorded spreadsheet price,Mema,,https://docs.google.com/spreadsheets/d/1FcrMBMEDy2bWQb9fOa3mfS-ihnd5u4_Z97BCvas-nKs/edit?gid=0#gid=0,,High,Do Not Buy Again,,,,,
INV-006,Small Vacuum / Attachments,Existing inventory,1,Recorded quantity,0,Recorded spreadsheet price,Mema,,https://docs.google.com/spreadsheets/d/1FcrMBMEDy2bWQb9fOa3mfS-ihnd5u4_Z97BCvas-nKs/edit?gid=0#gid=0,,High,Do Not Buy Again,,,,,
INV-007,Plastic Bristle Brushes,Existing inventory,5,Recorded quantity,0,Recorded spreadsheet price,Mema,,https://docs.google.com/spreadsheets/d/1FcrMBMEDy2bWQb9fOa3mfS-ihnd5u4_Z97BCvas-nKs/edit?gid=0#gid=0,,High,In Stock,,,,,
INV-008,Small Spray Bottle,Existing inventory,1,Recorded quantity,0,Recorded spreadsheet price,Mema,,https://docs.google.com/spreadsheets/d/1FcrMBMEDy2bWQb9fOa3mfS-ihnd5u4_Z97BCvas-nKs/edit?gid=0#gid=0,,High,In Stock,,,,,
INV-009,Small Wire Brushes,Existing inventory,3,Recorded quantity,0,Recorded spreadsheet price,Mema,,https://docs.google.com/spreadsheets/d/1FcrMBMEDy2bWQb9fOa3mfS-ihnd5u4_Z97BCvas-nKs/edit?gid=0#gid=0,,High,In Stock,,,,,
INV-010,Small Vent Brush,Existing inventory,1,Recorded quantity,0,Recorded spreadsheet price,Mema,,https://docs.google.com/spreadsheets/d/1FcrMBMEDy2bWQb9fOa3mfS-ihnd5u4_Z97BCvas-nKs/edit?gid=0#gid=0,,High,In Stock,,,,,
INV-011,5 Gallon Bucket,Existing inventory,2,Recorded quantity,3.98,Recorded spreadsheet price,Home Depot,https://www.homedepot.com/p/100087613,https://docs.google.com/spreadsheets/d/1FcrMBMEDy2bWQb9fOa3mfS-ihnd5u4_Z97BCvas-nKs/edit?gid=0#gid=0,,High,In Stock,,,,,
INV-012,Libman Small Scrub Brush,Existing inventory,1,Recorded quantity,5.98,Recorded spreadsheet price,Home Depot,https://www.homedepot.com/p/203081583,https://docs.google.com/spreadsheets/d/1FcrMBMEDy2bWQb9fOa3mfS-ihnd5u4_Z97BCvas-nKs/edit?gid=0#gid=0,,High,In Stock,,,,,
INV-013,HDX Multi-Purpose Sponges,Existing inventory,2,Recorded quantity,5.97,Recorded spreadsheet price,Home Depot,https://www.homedepot.com/p/335233718,https://docs.google.com/spreadsheets/d/1FcrMBMEDy2bWQb9fOa3mfS-ihnd5u4_Z97BCvas-nKs/edit?gid=0#gid=0,,High,In Stock,,,,,
INV-014,Chemical Guys Total Interior Cleaner,Existing inventory,1,Recorded quantity,0,Recorded spreadsheet price,Mema / Amazon,https://www.amazon.com/stores/page/DE660AEF-871B-4B93-B7B3-2ACBD1284F21,https://docs.google.com/spreadsheets/d/1FcrMBMEDy2bWQb9fOa3mfS-ihnd5u4_Z97BCvas-nKs/edit?gid=0#gid=0,,High,Do Not Buy Again,,,,,
INV-015,"Meguiar's Paint, Dash & Glass",Existing inventory,1,Recorded quantity,8.99,Recorded spreadsheet price,AutoZone,https://shop.advanceautoparts.com/p/50182754-P,https://docs.google.com/spreadsheets/d/1FcrMBMEDy2bWQb9fOa3mfS-ihnd5u4_Z97BCvas-nKs/edit?gid=0#gid=0,,High,Running Low,Note: Not sure if I should keep using.,,,,
